Project,Dam ID,Gestational age,DPI,fetal heart rate,Femur_length_1,Femur_length_2,Femur_length_3,Avg Femur Length (mm),Biparietal_diameter_1,Biparietal_diameter_2,Biparietal_diameter_3,Avg Biparietal Diameter (mm),Head_circumference_1,Head_circumference_2,Head_circumference_3,Avg Head Circumfrence (mm),Abdominal_circumference_1,Abdominal_circumference_2,Abdominal_circumference_3,Avg Abdominal Circumference (mm)
mock,044-108,51,3,189,,,,,,,,,,,,,,,,
mock,044-108,58,10,202,5.5,5.5,,5.5,17.3,17.4,,17.35,59.72,60.89,,60.31,45.21,47.86,,46.535
mock,044-108,65,17,194,8.9,9.1,,9,20.4,20.7,,20.55,70.67,71.33,72.63,71.54,63.55,62.69,,63.12
mock,044-108,72,24,189,12.7,12.8,,12.75,24.1,24,,24.05,94.83,88.48,,91.66,72.52,71.8,,72.16
mock,044-108,79,31,,,,,,,,,,,,,,,,,
mock,044-108,86,38,188,18.7,19,,18.85,30.2,30.8,,30.50,110.59,111.92,,111.26,96.33,99.16,,97.745
mock,044-108,93,45,196,20.8,21.8,,21.3,31.8,31.6,,31.70,124.62,122.87,,123.75,107.49,108.67,,108.08
mock,044-108,97,49,200,23.3,24,,23.65,34.7,34.6,,34.65,131.74,134.06,,132.90,99.99,101.64,,100.815
mock,044-108,107,59,,,,,,,,,,,,,,,,,
mock,044-108,114,66,187,32.9,31.7,,32.3,39.4,40.3,,39.85,157.06,154.22,,155.64,128.8,128.98,,128.89
mock,044-108,118,70,,,,,,,,,,,,,,,,,
mock,044-108,121,73,200,32.7,33.1,,32.9,41.6,42.3,,41.95,160.85,161.72,,161.29,126.85,123.16,,125.005
mock,044-108,128,80,196,35.4,34.4,,34.9,42.8,43.2,,43.00,167.99,171.09,,169.54,137.35,130.7,,134.025
mock,044-108,135,87,207,38.6,38.6,,38.6,43.9,43.8,,43.85,171.99,169.13,,170.56,139.7,141.43,,140.565
mock,044-108,142,94,173,42.4,40.6,,41.5,45.3,45.1,,45.20,179.63,179.86,173.12,177.54,145.07,145.68,,145.375
mock,044-108,149,101,202,42.4,41.9,,42.15,46.9,47.2,,47.05,175.81,177.15,,176.48,149.47,149.32,,149.395
mock,044-108,156,108,207,45.2,45.3,,45.25,46.9,47.7,,47.30,178.89,183.74,180.17,180.93,163.76,165.79,,164.775
ZIKV-PR,044-104,39,-6,189,,,,,,,,,,,,,,,,
ZIKV-PR,044-104,46,1,211,,,,,,,,,,,,,,,,
ZIKV-PR,044-104,53,8,213,,,,,,,,,,,,,,,,
ZIKV-PR,044-104,60,15,216,,,,,,,,,,,,,,,,
ZIKV-PR,044-104,67,22,209,9.16,9.47,,9.315,21.53,21.75,,21.64,,,,,66.04,65.83,,65.935
ZIKV-PR,044-104,76,31,198,12.45,13.41,,13.41,26,,,25.65,,,,91.51,78.13,75.64,,76.885
ZIKV-PR,044-104,83,38,202,16.66,16.25,,16.455,29.3,28.79,,29.05,104.10,102.64,,103.37,94.2,92.3,,93.25
ZIKV-PR,044-104,90,45,169,18.46,18.87,,18.67,30.98,31.34,,31.16,117.64,118.53,,118.09,97.39,97.07,,97.23
ZIKV-PR,044-104,97,52,209,21.9,22.02,,21.96,33.72,33.48,,33.60,126.42,127.39,,126.91,114.6,110.01,,112.305
ZIKV-PR,044-104,104,59,194,25.05,25.23,,25.14,35.21,34.62,,34.92,141.46,137.12,,139.29,119.8,116.08,,117.94
ZIKV-PR,044-104,111,66,190,26.77,26.89,,26.83,38.58,40.18,39.06,39.27,142.22,151.55,153.91,149.23,114.82,122.02,,118.42
ZIKV-PR,044-104,118,73,214,30.58,30.84,,30.71,42.89,43.63,,43.26,157.01,162.65,,159.83,125.15,123.6,,124.375
ZIKV-PR,044-104,125,80,184,32.38,32.08,,32.23,44.41,44.37,,44.39,161.48,168.36,,164.92,124.89,129.3,,127.095
ZIKV-PR,044-104,132,87,189,33.87,34.51,,34.19,45.32,44.79,,45.06,167.30,176.16,,171.73,137.69,152.06,,144.875
ZIKV-PR,044-104,139,94,193,38.16,39.45,,38.805,47.04,46.97,,47.01,177.25,177.38,,177.32,145.22,147.34,,146.28
ZIKV-PR,044-104,146,101,214,38.39,38.46,,38.425,47.78,47.55,,47.67,180.87,181.62,,181.25,146.72,148.49,,147.605
ZIKV-PR,044-104,150,105,191,40.18,41.29,,40.735,47.89,48.3,,48.10,181.70,179.01,,180.36,153.13,163.83,,158.48
ZIKV-PR,044-103,39,-6,,,,,,,,,,,,,,,,,
ZIKV-PR,044-103,46,1,202,,,,,,,,,,,,,,,,
ZIKV-PR,044-103,53,8,214,,,,,,,,,,,,,,,,
ZIKV-PR,044-103,60,15,206,,,,,,,,,,,,,,,,
ZIKV-PR,044-103,69,24,198,9.4,10.53,,9.965,22.57,22.54,,22.56,78.08,77.59,,77.84,62.4,62.01,,62.205
ZIKV-PR,044-103,76,31,195,9.85,9.8,,9.825,22.89,23.32,,23.11,78.11,78.43,,78.27,69.12,72.82,,70.97
ZIKV-PR,044-103,83,38,180,15.96,16.05,,16.005,28.97,29.23,,29.10,102.15,104.96,,103.56,86.1,86.61,,86.355
ZIKV-PR,044-103,90,45,182,18.36,17.33,,17.845,30.91,31.21,,31.06,113.73,113.54,,113.64,96.86,96.4,,96.63
ZIKV-PR,044-103,97,52,180,22.39,21.71,,22.05,34.17,33.72,,33.95,129.94,129.56,,129.75,107.94,109.74,,108.84
ZIKV-PR,044-103,104,59,180,24.23,24.23,24.07,24.17666667,36.38,35.73,,36.06,137.73,143.14,,140.44,111.48,111.35,,111.415
ZIKV-PR,044-103,111,66,186,23.5,23.76,,23.63,36.12,36.23,,36.18,130.80,130.39,,130.60,115.95,119.8,,117.875
