Participant ID,Date,dpi,Key,Assay,Nucleic Acid,Viral Load,Viral Load Replicates,Equivocal,Sample Source,Experiment Number,,,
044-104,2018-09-20,45,94662,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5912,,,
044-104,2018-09-27,52,94663,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5912,,,
044-104,2018-10-11,66,94664,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5912,,,
044-104,2018-10-18,73,95959,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6008,,,
044-104,2018-10-25,80,95960,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6008,,,
044-104,2018-11-01,87,95961,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6008,,,
044-104,2018-11-08,94,97326,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6074,,,
044-104,2018-11-15,101,97327,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6074,,,
044-104,2018-11-19,105,98574,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6139,,,
044-104,2018-11-28,114,98575,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6139,,,
